resource_id,role
85774,role_0
85775,role_0
85776,role_0
85777,role_0
85780,role_0
85782,role_0
85783,role_0
85785,role_0
85786,role_0
85787,role_0
85788,role_0
85791,role_0
85792,role_0
85793,role_0
85794,role_0
85795,role_0
85796,role_0
85797,role_1
85798,role_0
85799,role_0
85801,role_0
85802,role_0
85803,role_0
85804,role_0
85805,role_0
85806,role_0
85807,role_0
85808,role_0
85810,role_0
85811,role_0
85812,role_0
85813,role_0
85816,role_0
85817,role_0
85818,role_0
85819,role_0
85820,role_0
85821,role_0
85823,role_0
85824,role_0
85825,role_0
85826,role_0
85827,role_3
85828,role_0
85829,role_0
85831,role_0
85832,role_0
85833,role_0
85834,role_0
85835,role_0
85836,role_0
85837,role_0
85838,role_0
85840,role_3
85841,role_0
85842,role_0
85845,role_0
85846,role_0
85847,role_0
85848,role_0
85849,role_0
85850,role_0
85851,role_0
85852,role_0
85853,role_0
85855,role_0
85856,role_0
85857,role_0
85858,role_0
85860,role_0
85861,role_0
85862,role_0
85864,role_0
85865,role_0
85866,role_0
85867,role_0
85869,role_0
85871,role_0
85872,role_0
85873,role_0
85875,role_0
85876,role_0
85877,role_0
85878,role_0
85880,role_0
85883,role_0
85884,role_0
85885,role_0
85887,role_0
85888,role_0
85889,role_0
85890,role_0
85891,role_0
85893,role_0
85895,role_0
85899,role_0
85900,role_0
85904,role_0
85905,role_0
85908,role_0
85909,role_0
85911,role_0
85912,role_0
85914,role_0
85915,role_0
85916,role_0
85920,role_0
85922,role_0
85923,role_0
85924,role_0
85925,role_0
85928,role_0
85929,role_0
85931,role_0
85932,role_0
85933,role_0
85934,role_0
85935,role_0
85936,role_0
85937,role_0
85938,role_0
85939,role_0
85940,role_0
85941,role_0
85942,role_0
85943,role_0
85944,role_0
85945,role_0
85946,role_0
85947,role_0
85948,role_0
85949,role_0
85950,role_0
85951,role_0
85952,role_0
85953,role_0
85954,role_0
85955,role_0
85956,role_0
85958,role_0
85959,role_0
85960,role_0
85961,role_0
85962,role_0
85963,role_0
85965,role_0
85966,role_0
85967,role_0
85968,role_0
85970,role_0
85975,role_0
85976,role_0
85982,role_0
85984,role_0
85987,role_0
85988,role_0
85989,role_0
85993,role_0
85994,role_0
85996,role_0
85998,role_0
86000,role_0
86008,role_0
86009,role_0
86010,role_0
86012,role_0
86013,role_0
86014,role_3
86015,role_0
86016,role_0
86017,role_0
86018,role_0
86019,role_0
86020,role_0
86022,role_0
86023,role_0
86024,role_0
86025,role_0
86026,role_0
86027,role_0
86028,role_0
86030,role_0
86031,role_0
86032,role_0
86033,role_0
86035,role_0
86036,role_0
86037,role_0
86038,role_0
86039,role_0
86040,role_0
86041,role_0
86042,role_0
86043,role_0
86045,role_0
86046,role_0
86048,role_0
86049,role_0
86050,role_0
86051,role_0
86052,role_0
86053,role_0
86054,role_0
86055,role_0
86056,role_0
86058,role_0
86059,role_0
86061,role_0
86062,role_0
86064,role_0
86065,role_0
86066,role_0
86067,role_0
86069,role_0
86070,role_0
86071,role_0
86072,role_0
86077,role_0
86078,role_0
86082,role_0
86087,role_0
86088,role_0
86090,role_0
86091,role_0
86092,role_0
86093,role_0
86095,role_0
86096,role_0
86097,role_0
86098,role_0
86100,role_0
86101,role_0
86103,role_0
86104,role_0
86105,role_0
86106,role_0
86108,role_0
86109,role_0
86111,role_0
86112,role_0
86113,role_0
86114,role_0
86115,role_0
86116,role_0
86117,role_0
86118,role_0
86122,role_0
86123,role_0
86124,role_0
86125,role_0
86126,role_0
86129,role_0
86131,role_0
86133,role_0
86134,role_0
86135,role_0
86136,role_0
86138,role_0
86139,role_0
86140,role_0
86141,role_0
86143,role_0
86144,role_0
86145,role_0
86146,role_0
86147,role_0
86148,role_0
86149,role_0
86150,role_0
86151,role_0
86153,role_0
86154,role_0
86155,role_0
86156,role_0
86157,role_0
86158,role_0
86162,role_0
86163,role_0
86164,role_0
86165,role_0
86169,role_0
86170,role_0
86171,role_0
86172,role_0
86177,role_0
86180,role_0
86181,role_0
86182,role_0
86183,role_0
86184,role_0
86185,role_0
86186,role_0
86188,role_0
86189,role_0
86190,role_0
86191,role_0
86192,role_0
86193,role_0
86194,role_0
86195,role_0
86198,role_0
86200,role_0
86201,role_0
86202,role_0
86203,role_0
